Iteration,accuracy,precision,f1_score,criterion,max_depth,max_features,min_samples_leaf,min_samples_split
0,0.9345360824742268,0.8807014840206422,0.8717527250020661,gini,,sqrt,1,9
1,0.9525773195876288,0.8957069519923277,0.9093250766793133,entropy,20.0,,1,2
2,0.9180412371134021,0.8619771006130544,0.8362415680285096,gini,10.0,log2,4,4
3,0.9440721649484536,0.879872329534334,0.8931829818926593,gini,30.0,,1,2
4,0.9384020618556701,0.8934859606796366,0.8784953973649604,entropy,,sqrt,4,4
5,0.9399484536082474,0.8688968991446426,0.8859732018008881,gini,30.0,,1,5
6,0.9048969072164949,0.8200533309228961,0.8143584973340385,gini,10.0,log2,2,4
7,0.9440721649484536,0.879872329534334,0.8931829818926593,gini,30.0,,1,3
8,0.9314432989690722,0.8677937915742794,0.866853315590329,entropy,10.0,log2,3,2
9,0.9525773195876288,0.8957069519923277,0.9093250766793133,entropy,20.0,,1,8
10,0.9324742268041237,0.8734321971373764,0.8681278416797238,entropy,,log2,3,6
11,0.9082474226804124,0.8157606376229858,0.8237931713935325,gini,30.0,log2,3,3
12,0.9188144329896907,0.8538613050929834,0.840052917369239,entropy,10.0,log2,1,4
13,0.9350515463917526,0.8695319335083115,0.8747312337949789,gini,,sqrt,2,2
14,0.9203608247422681,0.8543260370117902,0.843526253289224,entropy,10.0,log2,4,8
15,0.913917525773196,0.8469548082431986,0.8296265290567642,gini,20.0,log2,1,7
16,0.9422680412371134,0.8793902629305588,0.8897256594808383,gini,10.0,,1,5
17,0.9528350515463917,0.8995580808080808,0.9094274876327161,entropy,30.0,,3,2
18,0.9324742268041237,0.8734321971373764,0.8681278416797238,entropy,,log2,3,3
19,0.9324742268041237,0.8734321971373764,0.8681278416797238,entropy,,log2,3,5
20,0.9451030927835051,0.8874811899525408,0.8948108808544475,gini,30.0,,3,3
21,0.9373711340206186,0.8850790260218739,0.8774690610803344,entropy,,sqrt,3,7
22,0.9458762886597938,0.8967300660722304,0.8953477202868853,gini,30.0,,2,6
23,0.940979381443299,0.884327527240913,0.8856245513280689,gini,10.0,sqrt,3,5
24,0.9144329896907216,0.8381453609430591,0.8329871696768734,entropy,30.0,log2,4,9
