Iteration,accuracy,precision,f1_score,bootstrap,max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators
0,0.9742268041237113,0.977713667508114,0.9485087607653473,True,20.0,log2,2,5,87
1,0.979381443298969,0.9771544431960534,0.9592294506164581,False,10.0,sqrt,2,3,153
2,0.9788659793814433,0.9771246492604746,0.9581366251791287,False,,sqrt,3,9,126
3,0.9762886597938144,0.9738526190974401,0.9529378375445539,True,30.0,sqrt,4,5,173
4,0.9755154639175257,0.9819184458619532,0.9510031726171857,True,20.0,log2,4,2,195
5,0.9757731958762886,0.9850107066381156,0.9513960703205792,True,,log2,3,7,99
6,0.9752577319587629,0.9768450102376924,0.9507262876056753,False,,log2,2,5,64
7,0.9775773195876288,0.9830835319202307,0.955263792315891,False,10.0,log2,3,2,189
8,0.9778350515463917,0.9810651726827885,0.9558938625059961,False,,log2,2,3,139
9,0.9744845360824742,0.9828577336641853,0.9487849526827388,True,,log2,4,8,143
10,0.9806701030927836,0.9782333413190047,0.9618258737123314,False,10.0,sqrt,2,6,199
11,0.9752577319587629,0.9870962947135684,0.9502102149282192,True,10.0,log2,1,7,75
12,0.9768041237113402,0.9739072111690421,0.9540063997434272,True,20.0,sqrt,4,3,176
13,0.9760309278350515,0.9829714550139731,0.9520354837199604,True,20.0,log2,1,7,191
14,0.9757731958762886,0.9748124118104733,0.9518414488110443,True,30.0,sqrt,1,6,69
15,0.9765463917525773,0.9809545992045007,0.9532141482581131,False,10.0,log2,3,5,57
16,0.9744845360824742,0.9828661366665135,0.9487779811799466,True,20.0,log2,2,2,158
17,0.9791237113402061,0.9761401428239964,0.9586918819685175,False,30.0,sqrt,4,4,157
18,0.9742268041237113,0.9849320922282296,0.9481368611803395,True,30.0,log2,3,3,53
19,0.9783505154639175,0.9730949361954652,0.9572694945730926,False,20.0,sqrt,1,9,63
20,0.977319587628866,0.9739879894680865,0.9550700043749487,True,,sqrt,2,8,157
21,0.9762886597938144,0.974848878792256,0.9529169572349677,True,20.0,sqrt,1,2,164
22,0.9778350515463917,0.9811028019983243,0.9558831419256903,False,30.0,log2,2,9,115
23,0.9775773195876288,0.9840921767605888,0.9552230740867884,False,,log2,2,8,130
24,0.9762886597938144,0.9799220482013874,0.952725598059844,False,,log2,3,4,70
